"gene_symbol","geneid","ensemblid","geneNcbiType","geneDSI","geneDPI","genepLI","uniprotids","protein_classid","protein_class_name","disease_name","diseaseType","diseaseUMLSCUI","diseaseClasses_MSH","diseaseClasses_UMLS_ST","diseaseClasses_DO","diseaseClasses_HPO","source","associationType","text","sentence","pmYear","score","chemsInSentence","reference_type","reference","ancestry_name","ancestry_id","chemical_effect","polarity"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Mutations in RBM20 were observed in approximately 3% of subjects with DCM.","Mutations in <span class='gene' en_id='282996'>RBM20</span> were observed in approximately 3% of subjects with <span class='disease' en_id='C0007193'>DCM</span>.",2012,1,NA,"PMID","22004663","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Reassessment of Mendelian gene pathogenicity using 7,855 cardiomyopathy cases and 60,706 reference samples.","Reassessment of Mendelian gene pathogenicity using 7,855 cardiomyopathy cases and 60,706 reference samples.",2017,1,NA,"PMID","27532257","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Multigenic Disease and Bilineal Inheritance in Dilated Cardiomyopathy Is Illustrated in Nonsegregating LMNA Pedigrees.","Multigenic Disease and Bilineal Inheritance in Dilated Cardiomyopathy Is Illustrated in Nonsegregating LMNA Pedigrees.",2018,1,NA,"PMID","30012837","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","This article concludes that DCM in patients with RBM20 mutations is associated with advanced disease.","This article concludes that <span class='disease' en_id='C0007193'>DCM</span> in patients with <span class='gene' en_id='282996'>RBM20</span> mutations is associated with advanced disease.",2010,1,NA,"PMID","20590677","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Validation of Concentric Rings Method as a Topographic Measure of Retinal Nonperfusion in Ultra-widefield Fluorescein Angiography.","Validation of Concentric Rings Method as a Topographic Measure of Retinal Nonperfusion in Ultra-widefield Fluorescein Angiography.",2016,1,NA,"PMID","26604126","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","RNA-binding motif protein 20 (RBM20) is essential for normal splicing of many cardiac genes, and loss of RBM20 causes dilated cardiomyopathy.","<span class='gene' en_id='282996'>RNA-binding motif protein 20</span> (<span class='gene' en_id='282996'>RBM20</span>) is essential for normal splicing of many cardiac genes, and loss of <span class='gene' en_id='282996'>RBM20</span> causes <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span>.",2016,1,NA,"PMID","27531932","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Variants in RBM20 are reported in 2% to 6% of familial cases of dilated cardiomyopathy and may be associated with fatal ventricular arrhythmia and rapid heart failure progression.","Variants in <span class='gene' en_id='282996'>RBM20</span> are reported in 2% to 6% of familial cases of <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span> and may be associated with fatal ventricular arrhythmia and rapid heart failure progression.",2023,1,NA,"PMID","37593875","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Mutation in RBM20 is linked to autosomal-dominant familial dilated cardiomyopathy (DCM), yet most of the RBM20 missense mutations in familial and sporadic cases were mapped to an RSRSP stretch in an arginine/serine-rich region of which function remains unknown.","Mutation in <span class='gene' en_id='282996'>RBM20</span> is linked to autosomal-dominant familial <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span> (<span class='disease' en_id='C0007193'>DCM</span>), yet most of the <span class='gene' en_id='282996'>RBM20</span> missense mutations in familial and sporadic cases were mapped to an RSRSP stretch in an arginine/serine-rich region of which function remains unknown.",2018,1,NA,"PMID","29895960","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Pregnancy Outcomes in Females With Dilated Cardiomyopathy-Associated Rare Genetic Variants.","Pregnancy Outcomes in Females With Dilated Cardiomyopathy-Associated Rare Genetic Variants.",2022,1,NA,"PMID","35113650","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","These effects may contribute to the early onset, and malignant course of DCM caused by RBM20 mutations.","These effects may contribute to the early onset, and malignant course of <span class='disease' en_id='C0007193'>DCM</span> caused by <span class='gene' en_id='282996'>RBM20</span> mutations.",2016,1,NA,"PMID","27496873","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Mutations in RBM20 were observed in approximately 3% of subjects with DCM.","Mutations in <span class='gene' en_id='282996'>RBM20</span> were observed in approximately 3% of subjects with <span class='disease' en_id='C0007193'>DCM</span>.",2012,1,NA,"PMID","22004663","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Large next-generation sequencing gene panels in genetic heart disease: yield of pathogenic variants and variants of unknown significance.","Large next-generation sequencing gene panels in genetic heart disease: yield of pathogenic variants and variants of unknown significance.",2019,1,NA,"PMID","30847666","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","By monitoring human cardiac disease according to stage-specific cardiogenesis, this study demonstrates RBM20 familial DCM is a developmental disorder initiated by molecular defects that pattern maladaptive cellular mechanisms of pathological cardiac remodeling.","By monitoring human cardiac disease according to stage-specific cardiogenesis, this study demonstrates <span class='gene' en_id='282996'>RBM20</span> familial <span class='disease' en_id='C0007193'>DCM</span> is a developmental disorder initiated by molecular defects that pattern maladaptive cellular mechanisms of pathological cardiac remodeling.",2016,1,NA,"PMID","26604136","","",NA,"Positive"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","leukemia","[disease]","C0023418","Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the immune system (02715) | Abnormality of blood and blood-forming tissues (01871) | Neoplasm (02664)","MGD_HUMAN","CausalOrContributing",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","Spinocerebellar Ataxia Type 14","Spinocerebellar Ataxia Type 14",1993,1,NA,"PMID","20301573","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","Spinocerebellar Ataxia Type 14","Spinocerebellar Ataxia Type 14",1993,1,NA,"PMID","20301573","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","MGD_HUMAN","CausalOrContributing",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","PKC gamma mutant mice exhibit mild deficits in spatial and contextual learning.","PKC gamma mutant mice exhibit mild deficits in spatial and contextual learning.",1993,1,NA,"PMID","8269510","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","Mutant protein kinase Cgamma found in spinocerebellar ataxia type 14 is susceptible to aggregation and causes cell death.","Mutant protein kinase Cgamma found in spinocerebellar ataxia type 14 is susceptible to aggregation and causes cell death.",2005,1,NA,"PMID","15964845","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","Spinocerebellar ataxia type 14 (SCA14) is a relatively pure form of autosomal dominant cerebellar ataxia mapped to chromosome 19q and caused by missense mutations in the gene encoding protein kinase C gamma (PRKCG), which are all located in the regulatory domain.","<span class='disease' en_id='C1854369'>Spinocerebellar ataxia type 14</span> (<span class='disease' en_id='C1854369'>SCA14</span>) is a relatively pure form of autosomal dominant cerebellar ataxia mapped to chromosome 19q and caused by missense mutations in the gene encoding <span class='gene' en_id='5582'>protein kinase C gamma</span> (<span class='gene' en_id='5582'>PRKCG</span>), which are all located in the regulatory domain.",2004,1,NA,"PMID","15313841","","",NA,"Positive"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","UNIPROT","CausalMutation","Exome sequencing and network analysis identifies shared mechanisms underlying spinocerebellar ataxia.","Exome sequencing and network analysis identifies shared mechanisms underlying spinocerebellar ataxia.",2017,1,NA,"PMID","29053796","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","These results point to specific alterations in mutant PKCgamma function that could lead to the selective neuronal degeneration of SCA14.","These results point to specific alterations in mutant <span class='gene' en_id='5582'>PKCgamma</span> function that could lead to the selective neuronal degeneration of <span class='disease' en_id='C1854369'>SCA14</span>.",2005,1,NA,"PMID","15618281","","",NA,"Positive"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","Here, we describe the first familial cases of SCA14 with a G128D mutation in PRKCG.","Here, we describe the first familial cases of <span class='disease' en_id='C1854369'>SCA14</span> with a G128D mutation in <span class='gene' en_id='5582'>PRKCG</span>.",2009,1,NA,"PMID","18986758","","",NA,"Positive"
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","Deep sequencing reveals 50 novel genes for recessive cognitive disorders.","Deep sequencing reveals 50 novel genes for recessive cognitive disorders.",2011,1,NA,"PMID","21937992","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","Missense mutations in the regulatory domain of PKC gamma: a new mechanism for dominant nonepisodic cerebellar ataxia.","Missense mutations in the regulatory domain of PKC gamma: a new mechanism for dominant nonepisodic cerebellar ataxia.",2003,1,NA,"PMID","12644968","","",NA,NA
"PRKCG",5582,"ENSG00000126583","protein-coding",0.566,0.913,0.99413,"P05129","DTO_03300101","Kinase","Spinocerebellar ataxia 14","[disease]","C1854369","Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","These findings document that SCA14 is caused by mutations in the PRKCG gene.","These findings document that <span class='disease' en_id='C1854369'>SCA14</span> is caused by mutations in the <span class='gene' en_id='5582'>PRKCG</span> gene.",2003,1,NA,"PMID","14676051","","",NA,"Positive"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Philadelphia chromosome positive chronic myelogenous leukemia","[disease]","C0279543","Neoplasms (C04) | Pathological Conditions, Signs and Symptoms (C23) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of cellular proliferation (14566) | disease of anatomical entity (7)","Abnormality of the immune system (02715) | Neoplasm (02664) | Abnormality of blood and blood-forming tissues (01871)","ORPHANET","FusionGene",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","ORPHANET","GermlineCausalMutation","A novel haplotype with the R345W mutation in the EFEMP1 gene associated with autosomal dominant drusen in a Japanese family.","A novel haplotype with the R345W mutation in the EFEMP1 gene associated with autosomal dominant drusen in a Japanese family.",2010,1,NA,"PMID","19850834","Japanese","HANCESTRO:0019",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","First reported case of Doyne honeycomb retinal dystrophy (Malattia Leventinese/autosomal dominant drusen) in Scandinavia.","First reported case of Doyne honeycomb retinal dystrophy (Malattia Leventinese/autosomal dominant drusen) in Scandinavia.",2021,1,NA,"PMID","33689237","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","GENCC","CausalMutation","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.","A single EFEMP1 mutation associated with both Malattia Leventinese and Doyne honeycomb retinal dystrophy.",1999,1,NA,"PMID","10369267","","",NA,NA
"EFEMP1",2202,"ENSG00000115380","protein-coding",0.431,0.913,1,"Q12805","DTO_05007621","Extracellular structure","DOYNE HONEYCOMB RETINAL DYSTROPHY","[disease]","C1832174","Eye Diseases (C11) | Nervous System Diseases (C10)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","","CLINVAR","CausalMutation","The inherited macular degeneration Doyne honeycomb retinal dystrophy/Malattia Leventinese is thought to be caused by an R345W mutation in the EFEMP1 gene (also called fibulin-3).","The inherited macular degeneration <span class='disease' en_id='C1832174'>Doyne honeycomb retinal dystrophy</span>/<span class='disease' en_id='C1832174'>Malattia Leventinese</span> is thought to be caused by an R345W mutation in the <span class='gene' en_id='2202'>EFEMP1</span> gene (also called <span class='gene' en_id='2202'>fibulin-3</span>).",2007,1,NA,"PMID","17666404","","",NA,"Positive"
"BCR",613,"ENSG00000186716","protein-coding",0.445,0.913,5.9807e-06,"P11274","DTO_05007584","Enzyme modulator","Acute lymphocytic leukemia","[disease]","C0023449","Immune System Diseases (C20) | Neoplasms (C04) | Hemic and Lymphatic Diseases (C15)","Neoplastic Process (T191)","disease of anatomical entity (7) | disease of cellular proliferation (14566)","Abnormality of the immune system (02715) | Abnormality of blood and blood-forming tissues (01871) | Neoplasm (02664)","CLINVAR","GeneticVariation",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"SH2B1",25970,"ENSG00000178188","protein-coding",0.534,0.87,0.99999,"Q9NRF2","","","Obesity","[disease]","C0028754","Nutritional and Metabolic Diseases (C18) | Pathological Conditions, Signs and Symptoms (C23)","Disease or Syndrome (T047)","disease of metabolism (0014667)","Growth abnormality (01507)","RGD_HUMAN","CausalOrContributing","Six new loci associated with body mass index highlight a neuronal influence on body weight regulation.","Six new loci associated with body mass index highlight a neuronal influence on body weight regulation.",2009,1,NA,"PMID","19079261","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","Regional Variation in RBM20 Causes a Highly Penetrant Arrhythmogenic Cardiomyopathy.","Regional Variation in RBM20 Causes a Highly Penetrant Arrhythmogenic Cardiomyopathy.",2019,1,NA,"PMID","30871351","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Reduced Systolic Function and Not Genetic Variants Determine Outcome in Pediatric and Adult Left Ventricular Noncompaction Cardiomyopathy.","Reduced Systolic Function and Not Genetic Variants Determine Outcome in Pediatric and Adult Left Ventricular Noncompaction Cardiomyopathy.",2021,1,NA,"PMID","34540771","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","Cardiomyopathy, familial dilated.","Cardiomyopathy, familial dilated.",2006,1,NA,"PMID","16839424","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Clinical and mutational spectrum in a cohort of 105 unrelated patients with dilated cardiomyopathy.","Clinical and mutational spectrum in a cohort of 105 unrelated patients with dilated cardiomyopathy.",2011,1,NA,"PMID","21846512","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Heterozygous mutations in human protein coding genes NKX2-5 and RBM20 are associated with a wide array of pathological phenotypes some of which are sudden cardiac death, unexplained syncope and either combined or isolated congenital heart diseases such as dilated cardiomyopathy.","Heterozygous mutations in human protein coding genes NKX2-5 and <span class='gene' en_id='282996'>RBM20</span> are associated with a wide array of pathological phenotypes some of which are sudden cardiac death, unexplained syncope and either combined or isolated congenital heart diseases such as <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span>.",2019,1,NA,"PMID","30611920","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINGEN","CausalMutation","Nonsense mutations in BAG3 are associated with early-onset dilated cardiomyopathy in French Canadians.","Nonsense mutations in BAG3 are associated with early-onset dilated cardiomyopathy in French Canadians.",2014,1,NA,"PMID","25448463","Canadian,French","HANCESTRO:0354,HANCESTRO:0363",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","RNA-binding motif protein 20 (RBM20) is essential for normal splicing of many cardiac genes, and loss of RBM20 causes dilated cardiomyopathy.","<span class='gene' en_id='282996'>RNA-binding motif protein 20</span> (<span class='gene' en_id='282996'>RBM20</span>) is essential for normal splicing of many cardiac genes, and loss of <span class='gene' en_id='282996'>RBM20</span> causes <span class='disease' en_id='C0007193'>dilated cardiomyopathy</span>.",2016,1,NA,"PMID","27531932","","",NA,"Positive"
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","CausalMutation","Reassessment of Mendelian gene pathogenicity using 7,855 cardiomyopathy cases and 60,706 reference samples.","Reassessment of Mendelian gene pathogenicity using 7,855 cardiomyopathy cases and 60,706 reference samples.",2017,1,NA,"PMID","27532257","","",NA,NA
"RBM20",282996,"ENSG00000203867","protein-coding",0.606,0.696,0.010899,"Q5T481","","","Cardiomyopathy, Dilated","[disease]","C0007193","Cardiovascular Diseases (C14) | Congenital, Hereditary, and Neonatal Diseases and Abnormalities (C16)","Disease or Syndrome (T047)","genetic disease (630) | disease of anatomical entity (7)","Abnormality of the cardiovascular system (01626)","CLINVAR","GeneticVariation","Implications of Genetic Testing in Dilated Cardiomyopathy.","Implications of Genetic Testing in Dilated Cardiomyopathy.",2020,1,NA,"PMID","32880476","","",NA,NA
